netapp_ontap.system_node,node_version_install_time,node_version,cluster_name
brazilstorec2-01,31 Oct 2022 14:53 UTC,NetApp Release 9.11.1P3: Thu Sep 29 16:06:51 UTC 2022,brazilstorec2
brazilstorec2-02,31 Oct 2022 14:52 UTC,NetApp Release 9.11.1P3: Thu Sep 29 16:06:51 UTC 2022,brazilstorec2
cavannac03n01,6 Feb 2022 04:16 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,cavannac03
cavannac03n02,6 Feb 2022 04:17 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,cavannac03
derotnp00001,7 Dec 2022 14:51 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0016
derotnp00002,7 Dec 2022 14:51 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0016
derotnp00007,27 Oct 2022 23:36 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009
derotnp00008,27 Oct 2022 23:34 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009
derotnp00009,28 Oct 2022 01:51 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0010
derotnp00010,28 Oct 2022 01:52 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0010
derotnp00065,25 Aug 2022 22:37 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,derotnpc0008
derotnp00066,25 Aug 2022 22:40 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,derotnpc0008
derotnp00073,23 Apr 2022 22:20 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009
derotnp00074,23 Apr 2022 22:21 UTC,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009
