,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
0,brazilstorec2-01,brazilstorec2,,CDvM200,9.11.1P3,NetApp Release 9.11.1P3: Thu Sep 29 16:06:51 UTC 2022,brazilstorec2,2022-10-31 14:53:00,2023-04-17 16:26:00,168.0,9.10.1P8,9.8.0P12,,False,False
1,brazilstorec2-02,brazilstorec2,,CDvM200,9.11.1P3,NetApp Release 9.11.1P3: Thu Sep 29 16:06:51 UTC 2022,brazilstorec2,2022-10-31 14:52:00,2023-04-17 16:26:00,168.0,9.10.1P8,9.8.0P12,,False,False
2,cavannac03n01,cavannac03,Internal,AFF-A700s,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,cavannac03,2022-02-06 04:16:00,2023-04-17 16:26:00,435.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
3,cavannac03n02,cavannac03,Internal,AFF-A700s,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,cavannac03,2022-02-06 04:17:00,2023-04-17 16:26:00,435.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
4,derotnp00001,derotnpc0016,Internal,FAS500f,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0016,2022-12-07 14:51:00,2023-04-17 16:26:00,131.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
5,derotnp00002,derotnpc0016,Internal,FAS500f,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0016,2022-12-07 14:51:00,2023-04-17 16:26:00,131.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
6,derotnp00007,derotnpc0009,,AFF-A800,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009,2022-10-27 23:36:00,2023-04-17 16:26:00,171.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
7,derotnp00008,derotnpc0009,,AFF-A800,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0009,2022-10-27 23:34:00,2023-04-17 16:26:00,171.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
8,derotnp00009,derotnpc0010,,AFF-A800,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0010,2022-10-28 01:51:00,2023-04-17 16:26:00,171.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
9,derotnp00010,derotnpc0010,,AFF-A800,9.8.0P7,NetApp Release 9.8P7: Tue Sep 14 18:38:58 UTC 2021,derotnpc0010,2022-10-28 01:52:00,2023-04-17 16:26:00,171.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
10,derotnp00065,derotnpc0008,Internal,FAS8060,9.8.0P12,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,derotnpc0008,2022-08-25 22:37:00,2023-04-17 16:26:00,234.0,9.8.0P16,9.8.0P12,,False,True
